gene_symbol	logFC	P.Value	adj.P.Val	dataset	FDR_lt_0_05
AHI1	0.927880457029237	0.0003461244361754	0.109904241784333	GSE243023	False
BRWD3	0.68828195111554	0.0003561850166157	0.109904241784333	GSE243023	False
ODC1	-0.756417984428546	0.0003596685508475	0.109904241784333	GSE243023	False
ZNF341	-1.11240054841183	0.0003640583180388	0.109904241784333	GSE243023	False
BAIAP2	-1.08959943152482	0.0003841135564621	0.112121243256192	GSE243023	False
SSH3	-1.28301291992336	0.0003882840615662	0.112121243256192	GSE243023	False
EEF1AKMT1	0.786795170249993	0.0004039309467888	0.114157760982907	GSE243023	False
NOTCH2NLR	-2.47780452763745	0.0004355745129907	0.118830256017034	GSE243023	False
CHD9	0.769126857169965	0.0004520223688715	0.118830256017034	GSE243023	False
NLGN2	-0.775347318614363	0.0004546658276425	0.118830256017034	GSE243023	False
KREMEN1	-1.54251074633158	0.0004565965874163	0.118830256017034	GSE243023	False
FNDC3B	0.815746302959537	0.0004651941062174	0.118830256017034	GSE243023	False
CPNE2	-0.750430787016576	0.0004750476872667	0.119057706225748	GSE243023	False
DPF2	-0.595873786544786	0.0004977189404497	0.121487924387052	GSE243023	False
CALCOCO1	-0.647572194805949	0.0005030366514558	0.121487924387052	GSE243023	False
ATP8A2	2.95559476289664	0.0005396034015945	0.127035651574593	GSE243023	False
DMTN	-0.830174822776664	0.0005618431175159	0.127035651574593	GSE243023	False
ETV4	-1.35908695948767	0.0005695473149262	0.127035651574593	GSE243023	False
NATD1	-0.832498755879686	0.0005748218506036	0.127035651574593	GSE243023	False
CARMIL2	-1.93008055978446	0.0005998872566523	0.127035651574593	GSE243023	False
CHIC2	0.745855569048058	0.0006025828244806	0.127035651574593	GSE243023	False
NBEAL1	0.864500886320751	0.000625655574359	0.127035651574593	GSE243023	False
MAST4	0.574934310805398	0.000625847678831	0.127035651574593	GSE243023	False
RORA	0.978802200835175	0.0006351356856368	0.127035651574593	GSE243023	False
DGKH	0.812008851586406	0.0006438905761274	0.127035651574593	GSE243023	False
MCM2	-0.633923950850568	0.0006541792923696	0.127035651574593	GSE243023	False
ATP2B1	0.907192839419428	0.0006672429501633	0.127035651574593	GSE243023	False
TRIM26	-0.599180300304077	0.0006707663310407	0.127035651574593	GSE243023	False
SACS	0.717337559014333	0.0006714840518502	0.127035651574593	GSE243023	False
FAM78A	-1.01840932698487	0.0006928495811009	0.127035651574593	GSE243023	False
ULK3	-0.645299772611757	0.0006965614714871	0.127035651574593	GSE243023	False
ZNF704	0.844490395849551	0.0007045276647851	0.127035651574593	GSE243023	False
SH3GLB2	-0.92062630139756	0.0007045894854273	0.127035651574593	GSE243023	False
TACSTD2	0.86939494652783	0.0007077195073793	0.127035651574593	GSE243023	False
MED13	0.648114827233114	0.0007247072371723	0.128012237155522	GSE243023	False
PCDH17	1.24273114575486	0.0007501661467235	0.128012237155522	GSE243023	False
XPC	-0.661659852437941	0.0007678373637781	0.128012237155522	GSE243023	False
PKP2	1.68776387695161	0.0007853614611727	0.128012237155522	GSE243023	False
IL15	1.09070746106802	0.0007876688625363	0.128012237155522	GSE243023	False
NFXL1	1.37137658370572	0.0007988172843088	0.128012237155522	GSE243023	False
PODXL2	-1.05232505622479	0.0008140822321901	0.128012237155522	GSE243023	False
TUBA1C	-0.738363697165195	0.0008353284546772	0.128012237155522	GSE243023	False
CRELD1	-0.923843059036389	0.0008406501899869	0.128012237155522	GSE243023	False
HEATR5A	0.886520586810847	0.0008498165628321	0.128012237155522	GSE243023	False
SERTAD2	0.605451921905857	0.0008551380195735	0.128012237155522	GSE243023	False
TEPP	-1.79278117828207	0.0008735645113529	0.128012237155522	GSE243023	False
XRCC3	-0.965241846468793	0.0008812491814002	0.128012237155522	GSE243023	False
VIPAS39	-0.629520426894612	0.000882401931976	0.128012237155522	GSE243023	False
ENGASE	-0.948777245004064	0.0008856732703188	0.128012237155522	GSE243023	False
ZNF800	0.610498454791665	0.000895907106356	0.128012237155522	GSE243023	False
ECH1	-0.736308634823149	0.0009004576863006	0.128012237155522	GSE243023	False
MARCHF7	0.592076092017372	0.0009020149569225	0.128012237155522	GSE243023	False
IFITM2	-1.05380742880652	0.0009209770011992	0.128012237155522	GSE243023	False
VMP1	0.659496848203967	0.0009246508809323	0.128012237155522	GSE243023	False
